create_time,pv
2019-09-30,2898
2019-09-29,2860
2019-09-28,2398
2019-09-27,2663
2019-09-26,2707
2019-09-25,3209
2019-09-24,2823
2019-09-23,2884
2019-09-22,1918
2019-09-21,2190
2019-09-20,2532
2019-09-19,2585
2019-09-18,2529
2019-09-17,2683
2019-09-16,2644
2019-09-15,1880
2019-09-14,1699
2019-09-13,1848
2019-09-12,2376
2019-09-11,2619
2019-09-10,2746
2019-09-09,2835
2019-09-08,2053
2019-09-07,2743
2019-09-06,2656
2019-09-05,2873
2019-09-04,3568
2019-09-03,3427
2019-09-02,2813
2019-09-01,2126
2019-08-31,2281
2019-08-30,2828
2019-08-29,2921
2019-08-28,3010
2019-08-27,3086
2019-08-26,2819
2019-08-25,2150
2019-08-24,2533
2019-08-23,2690
2019-08-22,2693
2019-08-21,2803
2019-08-20,2943
2019-08-19,2875
2019-08-18,2188
2019-08-17,2293
2019-08-16,3050
2019-08-15,3710
2019-08-14,3553
2019-08-13,3451
2019-08-12,3415
2019-08-11,3499
2019-08-10,4627
2019-08-09,5890
2019-08-08,3325
2019-08-07,2799
2019-08-06,3023
2019-08-05,3034
2019-08-04,2430
2019-08-03,2520
2019-08-02,3406
2019-08-01,3312
2019-07-31,3071
2019-07-30,3238
2019-07-29,3497
2019-07-28,2158
2019-07-27,2287
2019-07-26,2705
2019-07-25,2645
2019-07-24,2651
2019-07-23,2774
2019-07-22,2738
2019-07-21,2082
2019-07-20,2105
2019-07-19,2373
2019-07-18,2380
2019-07-17,2462
2019-07-16,2550
2019-07-15,2846
2019-07-14,1966
2019-07-13,2186
2019-07-12,2408
2019-07-11,2354
2019-07-10,2658
2019-07-09,2642
2019-07-08,2354
2019-07-07,2058
2019-07-06,2411
2019-07-05,2558
2019-07-04,2375
2019-07-03,2694
2019-07-02,2896
2019-07-01,2854
2019-06-30,2260
2019-06-29,2218
2019-06-28,2462
2019-06-27,2749
2019-06-26,2359
2019-06-25,2418
2019-06-24,2495
2019-06-23,2038
2019-06-22,1953
2019-06-21,2426
2019-06-20,2580
2019-06-19,2309
2019-06-18,2598
2019-06-17,2386
2019-06-16,1622
2019-06-15,1886
2019-06-14,2205
2019-06-13,2645
2019-06-12,2399
2019-06-11,2436
2019-06-10,2428
2019-06-09,1594
2019-06-08,1582
2019-06-07,1752
2019-06-06,2620
2019-06-05,2688
2019-06-04,2643
2019-06-03,2725
2019-06-02,2013
2019-06-01,2003
